img_path,frame_idx,time_stamp
slides/slide_111055_01-01-45.535.jpg,111055,01:01:45.535
slides/slide_111198_01-01-50.306.jpg,111198,01:01:50.306
slides/slide_111690_01-02-06.723.jpg,111690,01:02:06.723
slides/slide_114507_01-03-40.716.jpg,114507,01:03:40.716
slides/slide_114960_01-03-55.832.jpg,114960,01:03:55.832
slides/slide_115863_01-04-25.962.jpg,115863,01:04:25.962
slides/slide_116557_01-04-49.118.jpg,116557,01:04:49.118
slides/slide_117529_01-05-21.550.jpg,117529,01:05:21.550
slides/slide_118638_01-05-58.554.jpg,118638,01:05:58.554
slides/slide_121092_01-07-20.436.jpg,121092,01:07:20.436
slides/slide_121243_01-07-25.474.jpg,121243,01:07:25.474
slides/slide_121736_01-07-41.924.jpg,121736,01:07:41.924
slides/slide_122694_01-08-13.889.jpg,122694,01:08:13.889
slides/slide_122953_01-08-22.531.jpg,122953,01:08:22.531
slides/slide_123316_01-08-34.643.jpg,123316,01:08:34.643
slides/slide_4_00-00-00.133.jpg,4,00:00:00.133
slides/slide_376_00-00-12.545.jpg,376,00:00:12.545
slides/slide_744_00-00-24.824.jpg,744,00:00:24.824
slides/slide_1646_00-00-54.921.jpg,1646,00:00:54.921
slides/slide_5182_00-02-52.906.jpg,5182,00:02:52.906
slides/slide_7808_00-04-20.526.jpg,7808,00:04:20.526
slides/slide_8808_00-04-53.893.jpg,8808,00:04:53.893
slides/slide_9782_00-05-26.392.jpg,9782,00:05:26.392
slides/slide_15500_00-08-37.183.jpg,15500,00:08:37.183
slides/slide_15612_00-08-40.920.jpg,15612,00:08:40.920
slides/slide_17510_00-09-44.250.jpg,17510,00:09:44.250
slides/slide_20754_00-11-32.491.jpg,20754,00:11:32.491
slides/slide_21354_00-11-52.511.jpg,21354,00:11:52.511
slides/slide_23468_00-13-03.048.jpg,23468,00:13:03.048
slides/slide_23876_00-13-16.662.jpg,23876,00:13:16.662
slides/slide_25152_00-13-59.238.jpg,25152,00:13:59.238
slides/slide_25532_00-14-11.917.jpg,25532,00:14:11.917
slides/slide_25650_00-14-15.855.jpg,25650,00:14:15.855
slides/slide_25728_00-14-18.457.jpg,25728,00:14:18.457
slides/slide_26354_00-14-39.345.jpg,26354,00:14:39.345
slides/slide_27632_00-15-21.987.jpg,27632,00:15:21.987
slides/slide_32712_00-18-11.490.jpg,32712,00:18:11.490
slides/slide_33208_00-18-28.040.jpg,33208,00:18:28.040
slides/slide_35272_00-19-36.909.jpg,35272,00:19:36.909
slides/slide_36986_00-20-34.099.jpg,36986,00:20:34.099
slides/slide_37102_00-20-37.970.jpg,37102,00:20:37.970
slides/slide_38578_00-21-27.219.jpg,38578,00:21:27.219
slides/slide_42142_00-23-26.138.jpg,42142,00:23:26.138
slides/slide_43866_00-24-23.662.jpg,43866,00:24:23.662
slides/slide_44304_00-24-38.276.jpg,44304,00:24:38.276
slides/slide_44504_00-24-44.950.jpg,44504,00:24:44.950
slides/slide_45190_00-25-07.839.jpg,45190,00:25:07.839
slides/slide_46688_00-25-57.822.jpg,46688,00:25:57.822
slides/slide_47474_00-26-24.049.jpg,47474,00:26:24.049
slides/slide_48200_00-26-48.273.jpg,48200,00:26:48.273
slides/slide_49516_00-27-32.183.jpg,49516,00:27:32.183
slides/slide_51806_00-28-48.593.jpg,51806,00:28:48.593
slides/slide_51952_00-28-53.465.jpg,51952,00:28:53.465
slides/slide_52184_00-29-01.206.jpg,52184,00:29:01.206
slides/slide_52484_00-29-11.216.jpg,52484,00:29:11.216
slides/slide_52502_00-29-11.816.jpg,52502,00:29:11.816
slides/slide_52682_00-29-17.822.jpg,52682,00:29:17.822
slides/slide_52704_00-29-18.556.jpg,52704,00:29:18.556
slides/slide_52732_00-29-19.491.jpg,52732,00:29:19.491
slides/slide_53396_00-29-41.646.jpg,53396,00:29:41.646
slides/slide_55024_00-30-35.967.jpg,55024,00:30:35.967
slides/slide_55878_00-31-04.462.jpg,55878,00:31:04.462
slides/slide_56342_00-31-19.944.jpg,56342,00:31:19.944
slides/slide_61058_00-33-57.301.jpg,61058,00:33:57.301
slides/slide_62694_00-34-51.889.jpg,62694,00:34:51.889
slides/slide_63580_00-35-21.452.jpg,63580,00:35:21.452
slides/slide_64440_00-35-50.148.jpg,64440,00:35:50.148
slides/slide_64460_00-35-50.815.jpg,64460,00:35:50.815
slides/slide_65666_00-36-31.055.jpg,65666,00:36:31.055
slides/slide_68136_00-37-53.471.jpg,68136,00:37:53.471
slides/slide_70436_00-39-10.214.jpg,70436,00:39:10.214
slides/slide_71190_00-39-35.373.jpg,71190,00:39:35.373
slides/slide_71882_00-39-58.462.jpg,71882,00:39:58.462
slides/slide_72616_00-40-22.953.jpg,72616,00:40:22.953
slides/slide_74460_00-41-24.482.jpg,74460,00:41:24.482
slides/slide_74932_00-41-40.231.jpg,74932,00:41:40.231
slides/slide_76086_00-42-18.736.jpg,76086,00:42:18.736
slides/slide_76266_00-42-24.742.jpg,76266,00:42:24.742
slides/slide_76440_00-42-30.548.jpg,76440,00:42:30.548
slides/slide_76622_00-42-36.620.jpg,76622,00:42:36.620
slides/slide_76798_00-42-42.493.jpg,76798,00:42:42.493
slides/slide_76978_00-42-48.499.jpg,76978,00:42:48.499
slides/slide_77154_00-42-54.371.jpg,77154,00:42:54.371
slides/slide_77250_00-42-57.575.jpg,77250,00:42:57.575
slides/slide_77436_00-43-03.781.jpg,77436,00:43:03.781
slides/slide_77606_00-43-09.453.jpg,77606,00:43:09.453
slides/slide_77770_00-43-14.925.jpg,77770,00:43:14.925
slides/slide_77960_00-43-21.265.jpg,77960,00:43:21.265
slides/slide_78126_00-43-26.804.jpg,78126,00:43:26.804
slides/slide_78204_00-43-29.406.jpg,78204,00:43:29.406
slides/slide_78218_00-43-29.873.jpg,78218,00:43:29.873
slides/slide_78230_00-43-30.274.jpg,78230,00:43:30.274
slides/slide_78240_00-43-30.608.jpg,78240,00:43:30.608
slides/slide_78398_00-43-35.879.jpg,78398,00:43:35.879
slides/slide_78420_00-43-36.614.jpg,78420,00:43:36.614
slides/slide_78432_00-43-37.014.jpg,78432,00:43:37.014
slides/slide_78572_00-43-41.685.jpg,78572,00:43:41.685
slides/slide_78772_00-43-48.359.jpg,78772,00:43:48.359
slides/slide_78928_00-43-53.564.jpg,78928,00:43:53.564
slides/slide_79144_00-44-00.771.jpg,79144,00:44:00.771
slides/slide_79302_00-44-06.043.jpg,79302,00:44:06.043
slides/slide_79498_00-44-12.583.jpg,79498,00:44:12.583
slides/slide_80050_00-44-31.001.jpg,80050,00:44:31.001
slides/slide_80524_00-44-46.817.jpg,80524,00:44:46.817
slides/slide_81808_00-45-29.660.jpg,81808,00:45:29.660
slides/slide_82426_00-45-50.280.jpg,82426,00:45:50.280
slides/slide_82518_00-45-53.350.jpg,82518,00:45:53.350
slides/slide_82696_00-45-59.289.jpg,82696,00:45:59.289
slides/slide_82878_00-46-05.362.jpg,82878,00:46:05.362
slides/slide_83036_00-46-10.634.jpg,83036,00:46:10.634
slides/slide_83232_00-46-17.174.jpg,83232,00:46:17.174
slides/slide_83394_00-46-22.579.jpg,83394,00:46:22.579
slides/slide_83580_00-46-28.786.jpg,83580,00:46:28.786
slides/slide_83742_00-46-34.191.jpg,83742,00:46:34.191
slides/slide_86030_00-47-50.534.jpg,86030,00:47:50.534
slides/slide_87190_00-48-29.239.jpg,87190,00:48:29.239
slides/slide_88168_00-49-01.872.jpg,88168,00:49:01.872
slides/slide_88784_00-49-22.426.jpg,88784,00:49:22.426
slides/slide_90942_00-50-34.431.jpg,90942,00:50:34.431
slides/slide_92646_00-51-31.288.jpg,92646,00:51:31.288
slides/slide_94296_00-52-26.343.jpg,94296,00:52:26.343
slides/slide_94460_00-52-31.815.jpg,94460,00:52:31.815
slides/slide_94930_00-52-47.497.jpg,94930,00:52:47.497
slides/slide_95004_00-52-49.966.jpg,95004,00:52:49.966
slides/slide_95218_00-52-57.107.jpg,95218,00:52:57.107
slides/slide_95290_00-52-59.509.jpg,95290,00:52:59.509
slides/slide_95506_00-53-06.716.jpg,95506,00:53:06.716
slides/slide_95582_00-53-09.252.jpg,95582,00:53:09.252
slides/slide_95792_00-53-16.259.jpg,95792,00:53:16.259
slides/slide_95868_00-53-18.795.jpg,95868,00:53:18.795
slides/slide_96080_00-53-25.869.jpg,96080,00:53:25.869
slides/slide_96154_00-53-28.338.jpg,96154,00:53:28.338
slides/slide_96676_00-53-45.755.jpg,96676,00:53:45.755
slides/slide_97008_00-53-56.833.jpg,97008,00:53:56.833
slides/slide_100860_00-56-05.362.jpg,100860,00:56:05.362
slides/slide_101876_00-56-39.262.jpg,101876,00:56:39.262
slides/slide_102610_00-57-03.753.jpg,102610,00:57:03.753
slides/slide_102772_00-57-09.159.jpg,102772,00:57:09.159
slides/slide_102802_00-57-10.160.jpg,102802,00:57:10.160
slides/slide_103064_00-57-18.902.jpg,103064,00:57:18.902
slides/slide_103546_00-57-34.984.jpg,103546,00:57:34.984
slides/slide_103672_00-57-39.189.jpg,103672,00:57:39.189
slides/slide_104124_00-57-54.270.jpg,104124,00:57:54.270
slides/slide_104942_00-58-21.564.jpg,104942,00:58:21.564
slides/slide_106632_00-59-17.954.jpg,106632,00:59:17.954
slides/slide_107852_00-59-58.661.jpg,107852,00:59:58.661
slides/slide_108728_01-00-27.890.jpg,108728,01:00:27.890
slides/slide_109516_01-00-54.183.jpg,109516,01:00:54.183
slides/slide_110274_01-01-19.475.jpg,110274,01:01:19.475
slides/slide_110860_01-01-39.028.jpg,110860,01:01:39.028
slides/slide_111018_01-01-44.300.jpg,111018,01:01:44.300
slides/slide_111030_01-01-44.701.jpg,111030,01:01:44.701
slides/slide_111040_01-01-45.034.jpg,111040,01:01:45.034
slides/slide_111180_01-01-49.706.jpg,111180,01:01:49.706
slides/slide_111676_01-02-06.255.jpg,111676,01:02:06.255
slides/slide_114492_01-03-40.216.jpg,114492,01:03:40.216
slides/slide_114946_01-03-55.364.jpg,114946,01:03:55.364
slides/slide_115848_01-04-25.461.jpg,115848,01:04:25.461
slides/slide_116542_01-04-48.618.jpg,116542,01:04:48.618
slides/slide_117512_01-05-20.983.jpg,117512,01:05:20.983
slides/slide_118626_01-05-58.154.jpg,118626,01:05:58.154
slides/slide_121074_01-07-19.835.jpg,121074,01:07:19.835
slides/slide_121220_01-07-24.707.jpg,121220,01:07:24.707
slides/slide_121240_01-07-25.374.jpg,121240,01:07:25.374
slides/slide_121724_01-07-41.524.jpg,121724,01:07:41.524
slides/slide_122682_01-08-13.489.jpg,122682,01:08:13.489
slides/slide_122950_01-08-22.431.jpg,122950,01:08:22.431
slides/slide_123304_01-08-34.243.jpg,123304,01:08:34.243
slides/slide_4_00-00-00.133.jpg,4,00:00:00.133
slides/slide_376_00-00-12.545.jpg,376,00:00:12.545
slides/slide_744_00-00-24.824.jpg,744,00:00:24.824
slides/slide_1646_00-00-54.921.jpg,1646,00:00:54.921
slides/slide_5182_00-02-52.906.jpg,5182,00:02:52.906
slides/slide_7808_00-04-20.526.jpg,7808,00:04:20.526
slides/slide_8808_00-04-53.893.jpg,8808,00:04:53.893
slides/slide_9782_00-05-26.392.jpg,9782,00:05:26.392
slides/slide_4_00-00-00.133.jpg,4,00:00:00.133
slides/slide_376_00-00-12.545.jpg,376,00:00:12.545
slides/slide_744_00-00-24.824.jpg,744,00:00:24.824
